motivo;n_acta;fecha_visita;fecha_ingreso;n_inscripcion;zona;barrio  ;local_const;condicion_p_p_d;techos_puert_ilumi_venti ;instal_sanita ;edificios_instal;capacidad_dis_fun_equi_uten;superf_con_alime;equip_utens;estado_salud ;recon_medic;pract_higie_dota ;capaci_mani_higie_alim;pers_mani_aliment;control_mat_pri;preven_contam;mane_temp;condi_almac;req_higien;sumin_agua_pot;resid_liqui;resid_soli;control_plag;limpie_des_area;soport_doc_sanea;saneamiento;p_cumplimiento
PROGRAMACION;111;18/09/2020;8/10/2020;157599532888;URBANA;CENTRO;2;1;1;1;6;2;1;8,5;1;0;1;0;7;1;2;2;1;20,5;1;2;2;2;1;0;24;0
PROGRAMACION;112;17/09/2020;8/10/2020;1575946379197;URBANA;SAN MARTIN CENTRO;2;1;1;1;6;1;1;6;1;0;2;0;10.5;1;2;1;1;17;1;2;1;2;1;0;12;0
PROGRAMACION;113;17/09/2020;8/10/2020;1575946368419;URBANA;SAN MARTIN CENTRO;2;1;1;1;6;2;2;12;1;2;1;0;9;1;2;2;1;20,5;1;2;1;2;1;0;22;0
PROGRAMACION;114;10/09/2020;8/10/2020;157591057600321;URBANA;LAGUITO;2;1;1;1;6;1;1;6;1;0;1;0;7;1;2;2;2;22,5;1;2;1;2;2;0;25,5;0
PROGRAMACION;115;11/10/2020;8/10/2020;15759900559782/6;URBANA;CENTRO;2;1;1;1;6;2;2;12;2;2;1;2;16.5;1;2;2;1;20,5;2;2;1;2;1;1;26,5;0
PROGRAMACION;116;10/09/2020;8/10/2020;1575946382954;URBANA;CENTRO;2;1;1;2;8;2;2;12;1;0;2;1;12.5;1;2;1;2;19;1;2;1;2;2;0;25,5;0
PROGRAMACION;117;14/09/2020;8/10/2020;1575946358824;URBANA;PRADO CENTRO;1;1;1;2;7;1;2;9,5;1;0;1;0;7;1;2;1;1;17;1;2;1;2;1;0;22;0
PROGRAMACION;118;3/09/2020;8/10/2020;1575946367447;URBANA;EL RECREO;2;1;1;1;6;2;2;12;1;0;1;0;7;1;2;2;2;22,5;1;2;1;2;1;0;22;0
PROGRAMACION;119;3/09/2020;8/10/2020;157599636111;URBANA;EL RECREO;2;1;1;1;6;1;2;9,5;1;0;1;0;7;1;2;0;1;13,5;1;2;1;2;2;0;25,5;0
PROGRAMACION;120;8/09/2020;8/10/2020;1575946366400;URBANA;TERMINAL;2;1;1;2;8;1;2;9,5;1;1;1;1;10;1;2;2;2;22,5;1;2;2;2;1;0;24;0
PROGRAMACION;121;10/09/2020;8/10/2020;15759820004564/5;URBANA;CENTRO;2;2;1;1;7;2;2;12;1;0;2;0;10.5;1;2;2;1;20,5;2;2;1;2;2;0;29;0
PROGRAMACION;122;11/09/2020;8/10/2020;1575946383226;URBANA;CENTRO;0;1;1;1;5;1;2;9,5;1;0;1;0;7;1;2;1;1;17;1;2;1;2;1;0;22;0
PROGRAMACION;123;11/09/2020;8/10/2020;1575937543934;URBANA;LOS ROSALES;2;1;2;1;7;2;2;12;1;0;1;0;7;1;2;2;2;22,5;1;2;1;2;1;0;22;0
SOLICITUD DEL I;124;1/10/2020;23/10/2020;1575946379197;URBANA;SAN MARTIN CENTRO;2;1;1;2;8;1;2;9,5;1;2;2;1;14.5;1;2;1;2;19;2;2;2;2;1;0;27,5;0
PROGRAMACION;125;22/09/2020;23/10/2020;1575952231186;URBANA;CENTRO;2;2;1;1;7;2;2;12;1;0;1;0;7;1;2;2;1;20,5;1;2;2;2;1;0;24;0
PROGRAMACION;126;18/09/2020;24/10/2020;15759830129516;URBANA;CENTRO;1;2;1;1;7;2;2;12;1;0;1;0;7;2;2;2;1;23;1;2;1;2;1;0;22;0
PROGRAMACION;127;16/09/2020;24/10/2020;NO PRESENTA;URBANA;CENTRO;1;1;2;1;6;1;2;9,5;1;0;1;0;7;1;2;2;1;20,5;1;2;1;2;1;0;22;0
PROGRAMACION;128;16/09/2020;24/10/2020;1575946362171;URBANA;CENTRO;1;1;1;1;5;1;2;9,5;2;2;1;2;16.5;1;2;1;1;17;1;2;2;2;1;0;24;0
PROGRAMACION;129;18/09/2020;27/10/2020;1575974182337;URBANA;CENTRO;0;1;1;1;5;1;2;9,5;1;0;1;0;7;1;2;2;2;22,5;1;2;2;2;1;0;24;0
PROGRAMACION;130;4/09/2020;29/10/2020;15759195016;URBANA;20 DE JULIO;2;2;2;1;8;2;2;12;1;2;1;1;11;1;2;1;1;17;1;2;2;2;1;0;24;0
PROGRAMACION;131;4/09/2020;29/10/2020;157591057574549;URBANA;CENTRO;2;1;1;1;6;2;2;12;1;2;1;1;11;1;2;2;1;20,5;1;2;1;2;2;1;26,5;0
SOLICITUD DEL I;132;2/09/2020;29/10/2020;1575946380669;URBANA;SAN MARTIN CENTRO;2;1;1;1;6;2;1;8,5;1;0;2;1;12.5;1;2;2;2;22,5;1;2;1;2;1;0;22;0
PROGRAMACION;133;31/08/2020;29/10/2020;157599530262;URBANA;LAGUITO;2;1;1;2;8;2;2;12;1;0;1;0;7;1;2;2;2;22,5;1;2;2;2;2;0;27,5;0
PROGRAMACION;134;2/10/2020;9/11/2020;157599525130;URBANA;CENTRO;2;1;1;1;6;1;2;9,5;1;0;1;0;7;1;2;1;2;19;1;2;2;2;1;1;25;0
PROGRAMACION;135;5/10/2020;9/11/2020;1575946359899;URBANA;20 DE JULIO;1;2;1;2;8;1;2;9,5;1;1;1;1;10;1;2;1;1;17;1;2;2;2;1;0;24;0
PROGRAMACION;136;7/10/2020;9/11/2020;1575939947956;URBANA;CENTRO;1;1;1;1;5;1;2;9,5;2;2;1;2;16.5;1;2;1;1;17;1;2;1;2;1;0;22;0
PROGRAMACION;137;7/10/2020;9/11/2020;1575952489897;URBANA;CENTRO;1;1;1;1;5;1;2;9,5;2;2;2;2;20;2;2;2;1;23;1;2;1;2;1;0;22;0
PROGRAMACION;138;8/10/2020;9/11/2020;1575937888999;URBANA;CENTRO;1;1;2;1;6;1;2;9,5;1;0;1;1;9;1;2;1;1;17;1;2;1;2;1;0;22;0
PROGRAMACION;139;2/10/2020;9/11/2020;1575960329662;URBANA;CENTRO;1;1;1;2;7;2;2;12;2;2;1;1;14.5;1;2;1;2;19;1;2;1;2;1;0;22;0
PROGRAMACION;140;6/10/2020;9/11/2020;157591051474009;URBANA;SUGAMUXI;1;1;1;2;7;1;2;9,5;2;2;1;2;16.5;1;2;1;1;17;1;2;1;2;1;0;22;0
PROGRAMACION;141;16/10/2020;9/11/2020;1575940024404;URBANA;UNIVERSITARIO;1;1;1;1;5;1;2;9,5;1;0;1;0;7;1;2;2;2;22,5;1;2;1;2;1;0;22;0
PROGRAMACION;142;21/10/2020;9/11/2020;157591057572376;URBANA;CENTRO;1;1;2;1;6;1;2;9,5;1;0;1;0;7;1;2;1;1;17;1;2;1;2;2;0;25,5;0
PROGRAMACION;143;21/10/2020;9/11/2020;1575919340203;URBANA;CENTRO;1;1;1;1;5;1;2;9,5;1;1;1;1;10;1;2;1;1;17;1;2;2;2;1;0;24;0
PROGRAMACION;144;21/10/2020;9/11/2020;157591057577732;URBANA;20 DE JULIO;1;1;1;1;5;1;2;9,5;2;2;1;2;16.5;1;2;1;1;17;1;2;1;2;1;0;22;0
PROGRAMACION;145;2/10/2020;10/11/2020;1575946358064;URBANA;CENTRO;1;1;1;1;5;1;2;9,5;2;2;1;0;12.5;1;2;1;1;17;1;2;1;2;1;1;23;0
PROGRAMACION;146;1/10/2020;10/11/2020;157591057570288;URBANA;UNIVERSITARIO;1;1;1;1;5;1;2;9,5;1;0;1;0;7;1;2;1;2;19;1;2;1;2;1;0;22;0
PROGRAMACION;147;1/10/2020;10/11/2020;157591118542534;URBANA;UNIVERSITARIO;1;2;2;2;9;1;2;9,5;1;0;1;0;7;1;2;0;1;13,5;1;2;1;2;1;0;22;0
PROGRAMACION;148;1/10/2020;10/11/2020;157591057607524;URBANA;CENTRO;1;1;1;1;5;1;2;9,5;1;0;1;0;9;1;2;2;2;22,5;1;2;1;2;1;0;22;0
PROGRAMACION;149;1/10/2020;10/11/2020;157591018424510;URBANA;CENTRO;1;1;2;1;6;1;2;9,5;1;0;1;2;11;1;2;1;2;19;1;2;1;2;1;1;23;0
PROGRAMACION;150;8/10/2020;14/11/2020;1575946387526;URBANA;CENTRO;1;1;2;1;6;1;2;9,5;1;0;1;0;7;1;2;1;0;15;1;2;2;2;1;0;24;0
PROGRAMACION;151;13/10/2020;14/11/2020;1575946365356;URBANA;SENA;1;1;1;2;7;1;2;9,5;1;0;2;0;10.5;1;2;1;1;17;1;2;1;2;2;0;25,5;0
PROGRAMACION;152;14/10/2020;14/11/2020;15759901164607;URBANA;LAGUITO;1;1;1;2;7;1;2;9,5;1;0;1;0;7;1;2;1;2;19;1;1;1;2;1;0;20;0
PROGRAMACION;153;14/10/2020;14/11/2020;157599520412;URBANA;SIMON BOLIVAR;1;1;1;1;5;1;2;9,5;1;0;1;0;7;1;2;0;1;13,5;1;2;1;2;2;0;25,5;0
PROGRAMACION;154;23/10/2020;18/11/2020;15759900430358;URBANA;LAGUITO;1;1;1;1;5;1;2;9,5;1;0;2;0;10.5;2;2;1;2;21,5;2;2;1;2;1;1;26,5;0
PROGRAMACION;155;30/10/2020;22/11/2020;NO PRESENTA;URBANA;CENTRO;1;1;1;1;5;1;2;9,5;1;0;1;0;7;1;2;1;1;17;1;2;2;2;1;0;24;0
PROGRAMACION;156;27/10/2020;22/11/2020;1575935421979;URBANA;LAS MARIAS;1;1;1;1;5;1;2;9,5;1;0;1;0;7;1;2;1;1;17;1;2;1;2;1;0;22;0
PROGRAMACION;157;26/10/2020;22/11/2020;1575946379926;URBANA;OLAYA HERRERA;1;1;1;1;5;1;2;9,5;1;0;1;0;7;1;2;1;1;17;1;2;1;2;1;0;22;0
PROGRAMACION;158;26/10/2020;22/11/2020;157591055228987;URBANA;LA CASTELLANA;1;1;1;1;5;1;2;9,5;1;0;1;0;7;1;2;1;1;17;1;2;2;2;1;0;24;0
PROGRAMACION;159;29/10/2020;22/11/2020;1575923945425;URBANA;UNIVERSITARIO;2;1;1;1;6;2;2;12;1;0;1;0;7;1;2;2;2;22,5;1;2;2;2;2;0;27,5;0
PROGRAMACION;160;30/10/2020;22/11/2020;157594151797;URBANA;CENTRO;1;1;1;1;5;1;2;9,5;1;0;1;0;7;1;2;1;1;17;1;2;2;2;1;0;24;0
PROGRAMACION;161;27/10/2020;22/11/2020;157591053585466;URBANA;UNIVERSITARIO;1;1;1;1;5;1;2;9,5;1;1;1;1;10;1;2;1;1;17;1;2;1;2;1;0;22;0
PROGRAMACION;162;12/11/2020;30/11/2020;NO PRESENTA;URBANA;VALDES TAVERA;1;1;1;1;5;2;1;8,5;1;0;1;0;7;1;2;2;1;20,5;1;2;1;2;1;0;22;0
PROGRAMACION;163;16/11/2020;30/11/2020;157594636712;URBANA;CENTRO;1;1;2;2;8;1;2;9,5;1;0;1;0;7;1;2;0;1;13,5;1;2;2;2;1;0;24;0
PROGRAMACION;164;21/11/2020;2/12/2020;157591057580204;URBANA;UNIVERSITARIO;1;2;2;1;7;1;2;9,5;1;0;1;0;7;2;2;1;1;17;1;2;1;2;1;0;22;0
PROGRAMACION;165;23/11/2020;2/12/2020;1575946375602;URBANA;MANANTIAL;1;2;2;2;9;1;2;9,5;1;0;1;0;7;1;2;2;1;20,5;1;2;1;2;1;0;22;0
PROGRAMACION;166;23/11/2020;2/12/2020;157596769238;URBANA;NO PRESENTA;1;1;1;1;5;1;2;9,5;1;0;1;0;0;1;2;1;1;17;1;2;1;2;1;0;22;0
PROGRAMACION;167;8/09/2020;2/12/2020;1575952451830;URBANA;UNIVERSITARIO;1;1;1;1;5;1;2;9,5;1;0;1;0;7;1;2;1;1;17;1;2;1;2;2;0;25,5;0
PROGRAMACION;168;17/11/2020;3/12/2020;15759901193481;URBANA;VALDES TAVERA;1;2;1;2;8;1;2;9,5;2;2;2;1;18;1;2;1;2;19;2;2;2;2;1;0;28;0
PROGRAMACION;169;17/11/2020;3/12/2020;157591030650196;URBANA;20 DE JULIO;1;1;1;1;5;1;2;9,5;1;0;1;0;7;1;2;2;1;20,5;1;2;1;2;1;0;22;0
PROGRAMACION;170;18/11/2020;3/12/2020;1575919326592;URBANA;LA PRADERA;2;2;1;1;7;2;2;12;1;0;1;0;7;1;2;2;1;20,5;1;2;2;2;2;0;27,5;0
                                  H      ;171;24/11/2020;12/12/2020;1575923944627;URBANA;SUGAMUXI;1;1;1;1;5;1;2;9,5;1;0;1;0;7;1;2;2;2;22,5;1;2;1;2;1;0;22;0
PROGRAMACION;172;24/11/2020;12/12/2020;1575974184996;URBANA;SUGAMUXI;2;1;1;1;6;1;2;9,5;1;0;1;0;7;1;2;2;2;22,5;1;2;1;2;1;0;22;0
PROGRAMACION;173;30/11/2020;12/12/2020;157591057580006;URBANA;SUGAMUXI;2;1;1;1;6;2;2;12;1;0;1;0;7;1;2;2;2;22,5;1;2;1;2;1;0;22;0
PROGRAMACION;174;26/11/2020;12/12/2020;1575923862159;URBANA;OLAYA HERRERA;1;2;1;1;6;1;2;9,5;1;0;1;0;7;1;2;2;2;22,5;1;2;1;2;2;0;25,5;0
PROGRAMACION;175;27/11/2020;12/12/2020;1575946387362;URBANA;LOS ROSALES;2;1;1;1;6;1;2;9,5;1;0;1;0;7;1;2;2;2;22,5;1;2;1;2;1;0;22;0
PROGRAMACION;176;27/11/2020;12/12/2020;1575974080188;URBANA;NO PRESENTA;1;1;2;1;6;1;2;9,5;1;0;1;0;7;1;2;2;1;20,5;1;2;1;2;2;0;25,5;0
PROGRAMACION;177;30/11/2020;12/12/2020;1575924149369;URBANA;RAFAEL URIBE;1;2;1;1;6;1;2;9,5;1;0;1;0;7;1;2;1;1;17;1;2;1;2;1;0;22;0
PROGRAMACION;178;24/11/2020;13/12/2020;157594123249;URBANA;CENTRO;1;1;2;1;6;1;2;9,5;1;0;1;0;7;1;2;1;2;19;1;2;2;2;2;0;27,5;0
