motivo;n_acta;fecha_visita;fecha_ingreso;n_inscripcion;zona;barrio  ;local_const;condicion_p_p_d;techos_puert_ilumi_venti ;instal_sanita ;instal_sanita2;edificios_instal;capacidad_dis_fun_equi_uten;superf_con_alime;equip_utens;estado_salud ;recon_medic;pract_higie_dota ;capaci_mani_higie_alim;pers_mani_aliment;sumin_agua_pot;resid_soli;resid_liqui;control_plag;limpie_des_area;soport_doc_sanea;saneamiento;condi_almac;manejo_pro_refri;manejo_pro_ambiente;almac_comerc;proce_req_legal;proce_req_legal;p_cumplimiento
PROGRAMACION;81;21/08/2020;30/08/2020;1,57595E+12;URBANA;ARRAYANES;2;2;2;2;2;10;2;2;12;2;0;1;0;9;1;2;2;2;1;0;18,5;2;2;2;25;2;5;79,5
PROGRAMACION;82;22/08/2020;30/08/2020;1,57591E+14;URBANA;SIMON BOLIVAR;2;2;2;2;2;10;2;2;12;2;0;1;1;13;1;2;2;2;1;0;18,5;1;2;2;21;2;5;79,5
PROGRAMACION;83;24/08/2020;30/08/2020;1,57591E+14;URBANA;SAN MARTIN;2;1;2;1;2;7,75;1;2;9;2;0;1;0;9;1;2;1;2;1;0;17,25;1;2;2;21;2;5;69
PROGRAMACION;84;22/08/2020;10/09/2020;1,57595E+12;URBANA;ARRAYANES;2;1;1;1;2;7;1;2;9;2;2;1;1;14,5;1;2;1;2;1;1;19,25;1;2;2;21;2;5;75,75
PROGRAMACION;85;25/08/2020;10/09/2020;1,57593E+12;URBANA;CENTRO;2;1;1;1;2;7;1;2;9;1;0;1;0;6;1;2;2;2;1;1;20,5;2;2;2;25;2;5;72,5
PROGRAMACION;86;27/08/2020;10/09/2020;1,57591E+14;URBANA;CHINCA;2;1;1;1;2;7;1;2;9;2;0;1;0;9;1;2;1;2;1;0;17,25;1;2;2;21;2;5;68,25
PROGRAMACION;87;18/09/2020;10/09/2020;1,57591E+14;URBANA;SAN ANDRESITO;2;2;1;2;2;9,25;2;2;12;2;0;2;2;17;2;2;1;2;2;0;22,75;2;2;2;25;2;5;91
PROGRAMACION;88;18/09/2020;30/09/2020;1,57594E+11;URBANA;VILLA DEL SOL;2;2;2;1;2;8,5;2;1;9;1;0;2;0;9;2;2;2;2;1;0;21;1;1;2;16,5;2;5;69
PROGRAMACION;89;16/09/2020;30/09/2020;1,57598E+12;URBANA;MAGDALENA;2;1;2;2;2;9,25;1;2;9;1;0;2;0;9;2;2;2;2;2;0;24;2;2;2;25;2;5;81,25
PROGRAMACION;90;23/11/2020;5/12/2020;1,57599E+13;URBANA;NO PRESENTA;2;1;1;1;2;7;1;1;6;2;0;1;2;14;1;2;1;2;1;0;17,25;1;2;1;17;2;5;66,25
PROGRAMACION;91;24/08/2020;24/10/2020;1,57595E+12;URBANA;SAN MARTIN;2;1;2;1;2;7,75;2;2;12;1;0;2;0;9;2;2;2;2;1;0;21;2;2;2;25;2;5;79,75
PROGRAMACION;92;25/08/2020;24/10/2020;1,57595E+12;URBANA;TERMINAL;2;1;2;2;2;9,25;1;2;9;1;0;2;0;9;1;2;2;2;1;0;17,25;2;2;2;25;2;5;74,5
PROGRAMACION;93;31/08/2020;24/10/2020;1,57592E+12;URBANA;CHAPINERO;2;2;2;1;2;8,5;2;2;12;2;0;1;0;9;1;2;1;2;2;0;20,5;2;2;2;25;2;5;80
PROGRAMACION;94;24/08/2020;24/10/2020;1,57593E+11;URBANA;CENTRO;2;1;2;2;2;9,25;2;2;12;1;0;2;0;9;2;2;2;2;1;0;21;2;2;2;25;2;5;81,25
