motivo;n_acta;fecha_visita;fecha_ingreso;n_inscripcion;zona;barrio  ;local_const;condicion_p_p_d;techos_puert_ilumi_venti ;instal_sanita ;instal_sanita2;edificios_instal;capacidad_dis_fun_equi_uten;superf_con_alime;equip_utens;estado_salud ;recon_medic;pract_higie_dota ;capaci_mani_higie_alim;pers_mani_aliment;sumin_agua_pot;resid_soli;resid_liqui;control_plag;limpie_des_area;soport_doc_sanea;saneamiento;condi_almac;manejo_pro_refri;manejo_pro_ambiente;almac_comerc;proce_req_legal;requi_legales;p_cumplimiento
PROGRAMACION;197;14/05/2020;5/06/2020;1,58E+12;URBANA;CENTRO;2;2;2;2;2;10;2;2;12;2;1;1;2;15,5;2;2;2;2;2;2;28;1;2;2;21;2;5;91,5
PROGRAMACION;198;14/04/2020;1/06/2020;1,58E+12;URBANA;SANTA HELENA;2;2;2;2;1;9;2;2;12;2;1;0;1;10;1;2;2;2;2;0;21,5;2;2;2;25;2;5;82,5
PROGRAMACION;199;17/04/2020;5/06/2020;1,58E+12;URBANA;SANTA HELENA;2;1;2;2;2;9,25;2;2;12;2;0;1;0;9;1;2;2;2;2;0;21,5;2;2;2;25;2;5;81,75
PROGRAMACION;200;22/04/2020;5/05/2020;NO PRESENTA;URBANA;CENTRO;2;1;1;2;2;8,5;2;2;12;2;0;1;0;9;1;2;2;2;2;0;21,5;1;2;2;21;2;5;77
PROGRAMACION;201;22/04/2020;5/05/2020;1,58E+12;URBANA;CENTRO;2;2;2;2;2;10;2;2;12;1;0;2;0;9;2;2;2;2;2;0;24;2;2;2;25;2;5;85
PROGRAMACION;202;24/04/2020;5/05/2020;NO PRESENTA;URBANA;EL LAGUITO;2;2;2;2;2;10;2;1;9;1;0;2;2;14;1;2;2;2;2;0;21,5;2;2;2;25;2;5;84,5
PROGRAMACION;203;28/04/2020;1/06/2020;1,58E+12;URBANA;CENTRO;2;1;2;1;1;6,75;2;2;12;1;0;1;0;6;1;2;1;2;2;0;20,25;1;2;2;21;2;5;71
PROGRAMACION;204;28/04/2020;1/06/2020;1,58E+13;URBANA;CENTRO;2;2;2;1;2;8,5;2;2;12;1;0;2;0;9;2;2;1;2;2;0;22,75;1;2;2;21;2;5;78,25
PROGRAMACION;205;30/04/2020;1/06/2020;1,58E+12;URBANA;SANTA CATALINA;2;2;2;1;2;8,5;2;2;12;1;1;2;0;10,5;1;2;2;2;2;0;21,5;2;2;2;25;2;5;82,5
PROGRAMACION;206;27/05/2020;28/06/2020;1,58E+12;URBANA;OLAYA HERRERA;2;2;1;2;2;9,25;2;2;12;2;1;2;1;16;2;2;2;2;2;1;26;2;2;2;25;1;2,5;90,75
PROGRAMACION;207;28/05/2020;25/06/2020;1,58E+14;URBANA;LA SIERRA;2;2;2;2;2;10;2;2;12;1;0;2;2;14;2;2;2;2;1;0;21;1;2;1;17;1;2,5;76,5
