motivo;n_acta;fecha_visita;fecha_ingreso;n_inscripcion;zona;barrio  ;local_const;condicion_p_p_d;techos_puert_ilumi_venti ;instal_sanita ;edificios_instal;capacidad_dis_fun_equi_uten;superf_con_alime;equip_utens;estado_salud ;recon_medic;pract_higie_dota ;capaci_mani_higie_alim;pers_mani_aliment;control_mat_pri;preven_contam;mane_temp;condi_almac;req_higien;sumin_agua_pot;resid_liqui;resid_soli;control_plag;limpie_des_area;soport_doc_sanea;saneamiento;p_cumplimiento
PROGRAMACION;65;21/07/2020;5/08/2020;1,58E+14;URBANA;MAGDALENA;1;1;1;1;5;2;1;8,5;2;0;1;1;12,5;1;2;2;1;20,5;1;1;1;2;2;0;23,5;70
PROGRAMACION;66;21/07/2020;5/08/2020;1,58E+14;URBANA;MAGDALENA;2;1;1;2;8;2;2;12;2;2;1;1;14,5;1;2;1;1;17;1;1;2;2;1;1;23;74,5
PROGRAMACION;67;23/07/2020;5/08/2020;1,58E+12;URBANA;MAGDALENA;2;1;1;1;6;1;1;6;2;2;1;2;16,5;1;2;1;2;19;1;2;2;2;2;0;27,5;75
PROGRAMACION;68;21/07/2020;5/08/2020;1,58E+12;URBANA;MAGDALENA;2;1;1;2;8;2;2;12;2;2;1;1;14,5;2;2;1;2;21,5;1;2;2;2;2;1;28,5;84,5
PROGRAMACION;69;28/07/2020;5/08/2020;1,58E+12;URBANA;EL BOSQUE;2;1;1;1;6;2;1;8,5;1;2;1;1;11;1;2;1;1;17;1;2;1;2;2;0;25,5;68
PROGRAMACION;70;29/07/2020;5/08/2020;NO PRESENTA;URBANA;LA PRADERA;1;1;2;1;6;1;1;6;1;0;1;0;7;1;2;1;1;17;1;2;1;0;1;0;13;49
PROGRAMACION;71;11/08/2020;30/08/2020;1,58E+14;URBANA;CENTRO;2;1;2;1;7;2;1;8,5;1;0;1;0;7;1;2;1;2;17;1;2;1;2;1;0;22;61,5
SEGUIMIENTO;72;5/08/2020;30/08/2020;NO PRESENTA;URBANA;LA PRADERA;2;1;2;1;7;1;2;9,5;1;0;2;2;14,5;1;2;2;2;22,5;1;2;2;2;1;0;24;77,5
PROGRAMACION;73;14/08/2020;30/08/2020;1,58E+12;URBANA;SAN MARTIN CENTRO;1;2;1;1;6;2;1;8,5;1;1;1;1;10;1;2;2;1;20,5;1;2;1;2;1;0;22;67
PROGRAMACION;74;11/08/2020;30/08/2020;1,58E+12;URBANA;NO PRESENTA;2;1;2;1;7;1;2;9,5;1;2;1;2;13;1;2;2;1;20,5;1;2;2;2;1;0;24;74
