motivo;n_acta;fecha_visita;fecha_ingreso;n_inscripcion;zona;barrio  ;direccion_notificacion;local_const;condicion_p_p_d;techos_puert_ilumi_venti ;instal_sanita ;edificios_instal;capacidad_dis_fun_equi_uten;superf_con_alime;equip_utens;estado_salud ;recon_medic;pract_higie_dota ;capaci_mani_higie_alim;pers_mani_aliment;control_mat_pri;preven_contam;mane_temp;condi_almac;req_higien;sumin_agua_pot;resid_liqui;resid_soli;control_plag;limpie_des_area;soport_doc_sanea;saneamiento;p_cumplimiento
PROGRAMACION;12;29/04/2020;26/05/2020;1,58E+12;URBANA;UNIVERSITARIO;CARRERA 14 N 2/51;2;1;1;1;6;1;2;9,5;2;1;1;2;15,5;2;2;1;1;19,5;2;2;1;2;1;1;26,5;77
PROGRAMACION;13;29/04/2020;26/05/2020;NO PRESENTA;URBANA;VILLA DEL SOL;CARRERA 24 N 2 A BIS 56;1;1;1;2;7;1;1;6;2;2;1;2;16,5;1;2;1;1;17;2;2;1;2;1;0;25,5;72
PROGRAMACION;14;29/04/2020;26/05/2020;NO PRESENTA;URBANA;LOS ARRAYANES;CARRERA 18 N 3/63;1;1;2;1;6;1;2;9,5;2;1;1;1;13,5;1;2;1;1;17;2;2;1;2;1;1;26,5;72,5
PROGRAMACION;15;8/05/2020;26/05/2020;NO PRESENTA;URBANA;CENTRO;CALLE 12 N 9/118/120;2;1;2;2;9;1;2;9,5;2;0;2;1;16;2;2;1;2;21,5;1;2;1;2;1;1;23;79
PROGRAMACION;16;8/05/2020;26/05/2020;1,58E+12;URBANA;CENTRO;CALLE 12 N 9/115;2;1;2;1;7;1;1;6;2;2;2;2;20;1;2;1;1;17;1;2;2;2;2;1;28,5;78,5
PROGRAMACION;17;28/04/2020;26/05/2020;1,58E+12;URBANA;SANTA CATALINA;CALLE 4 N 15/21 LOCAL 3;2;1;1;1;6;1;2;9,5;2;0;0;0;7;1;2;2;2;22,5;1;2;2;2;1;0;24;69
PROGRAMACION;18;20/05/2020;26/05/2020;1,58E+12;URBANA;VALDES TAVERA;CALLE 11 N 22/43;1;1;1;1;5;2;1;8,5;2;1;1;1;13,5;1;2;1;1;17;1;2;1;2;1;0;22;66
PROGRAMACION;19;18/05/2020;28/05/2020;1,58E+12;URBANA;URIBE URIBE;CALLE 11 N 22/36;2;1;1;1;6;1;2;9,5;2;2;1;2;16,5;1;2;1;1;17;0;2;2;2;2;1;25;74
PROGRAMACION;20;15/05/2020;28/05/2020;1575923555294/4;URBANA;CENTRO;CALLE 12 N 12/84;1;1;1;1;5;1;2;9,5;2;1;2;1;17;1;2;1;1;17;1;2;1;2;1;1;23;71,5
PROGRAMACION;21;6/05/2020;28/05/2020;NO PRESENTA;URBANA;MOCHACA;CALLE 8 N 8/55;1;1;2;1;6;1;2;9,5;2;1;1;1;13,5;1;2;1;1;17;0;2;1;2;1;1;19,5;65,5
PROGRAMACION;22;6/05/2020;28/05/2020;1,58E+13;URBANA;CENTRO;CALLE 11 N 10/09;2;1;2;1;7;2;2;12;2;2;2;2;20;2;2;1;2;21,5;2;2;1;2;2;1;30;90,5
PROGRAMACION;23;7/05/2020;28/05/2020;NO PRESENTA;URBANA;SIMON BOLIVAR;CARRERA 20 N 4/06;1;1;1;1;5;1;2;9,5;2;2;1;2;16,5;1;2;1;1;17;0;2;1;2;1;1;19,5;67,5
PROGRAMACION;24;11/05/2020;28/05/2020;1,58E+14;URBANA;CENTRO;CARRERA 11 N 11/04;2;1;2;1;7;1;2;9,5;2;2;2;2;20;2;2;2;1;23;1;2;1;2;1;1;23;82,5
PROGRAMACION;25;11/05/2020;28/05/2020;NO PRESENTA;URBANA;UNIVERSITARIO;CALLE 1RA N 17/07 SUR;1;1;1;1;5;1;2;9,5;2;1;1;1;13,5;1;2;1;1;17;0;2;1;2;1;1;19,5;64,5
PROGRAMACION;26;12/05/2020;28/05/2020;NO PRESENTA;URBANA;CENTRO;CARRERA 10 N 11/02;1;1;1;1;5;1;2;9,5;2;1;2;1;17;1;2;1;1;17;0;2;2;2;1;1;21,5;70
PROGRAMACION;27;12/05/2020;28/05/2020;1,58E+14;URBANA;CENTRO;CARRERA 11 N 14/108;1;1;1;1;5;1;2;9,5;2;2;2;1;18;2;2;2;1;23;1;2;2;2;2;1;28,5;84
